"uid"	"cat"	"name"	"screen_name"	"description"	"verified"	"location"	"lat"	"lon"	"country"	"created_at"	"followers_count"	"friends_count"	"statuses_count"	"favourites_count"	"listed_count"
40585382	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
30005269	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3314758074	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
14311688	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
110457801	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
269062860	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
1656126090	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
758669826	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
21056856	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
954363313	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
337284868	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
203541550	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
156333623	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
587865313	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4750028375	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
115703194	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
15475471	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2701352961	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
383978282	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
1031038448	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
115402745	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
168516256	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
293602749	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2734365015	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
45025729	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
183825988	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
954537696	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
187838951	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
13134132	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
142082006	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
17976923	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
44579901	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2604799262	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
110445334	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2560114934	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
18020589	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
19266287	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
216776631	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
29590509	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
92591950	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2295018296	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4340820854	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4825930887	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
790903590	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
874865167	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2236855903	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2590343858	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2368167096	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
952755865	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
174925229	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
940501590	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
69401520	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
204192344	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
244255664	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
624424692	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2966205003	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
839041598	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3633358032	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
14640695	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
719339280	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4542922882	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
905717526	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
15896985	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
557334459	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
317934789	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
498606133	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
1066130576	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
49715720	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
152887445	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
162130269	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
172882920	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
18027868	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
113635077	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
635904401	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
14203536	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
24306618	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
353351870	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
862131258	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
1023193092	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
128210898	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4013838856	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
1343876084	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
560595425	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
587931720	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3409254867	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
49010609	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3433544427	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
17888100	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
93294953	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
1389906121	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
7702542	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3016501992	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
35536897	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
31296078	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
17000866	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
21695125	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2232234570	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2666776129	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
143628199	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
369044765	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3630049992	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
28054095	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
24408575	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
25856559	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
34094609	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2896546515	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3485520135	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
124540457	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2366681	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
23124635	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
21980139	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4159718177	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
779576	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
636458745	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
932800111	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
1672224415	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
22840740	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
368620668	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
118885542	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
90440230	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
338779219	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
246769138	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
127929667	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
476848835	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
23654825	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
249843937	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
634017251	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
38739066	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
56824433	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
420958041	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
866664906	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
51799302	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2900743415	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
36171841	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
195930557	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
17681451	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
16438594	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
453086264	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
50378967	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3388290885	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
50769180	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3267492818	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2358208718	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
18497595	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3820050292	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
235271965	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
19615120	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
1071777608	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3690067995	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3010143747	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
278005891	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
831988088	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
23247996	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4147751584	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
22024503	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
21798534	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
42007823	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
721504266	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
190053325	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
205340154	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
1964042322	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
18455366	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
616297361	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2746414153	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
44893	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3320162663	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
24795242	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
222622640	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3892157481	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
35277267	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
14236852	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
1546147508	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
19069521	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
197843269	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
376562166	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3738917600	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
18678924	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
32029132	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
394359359	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
78514857	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
403858219	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
36890646	1.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
21233325	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""
